영화제목,개봉일,예매매출액,예매관람수
더 러닝 맨,2025-12-10,"4,869,000",541
파더 마더 시스터 브라더,,"6,264,500",520
하나 그리고 둘,"재개봉일 : 2018-06-28, 2025-12-31

										2000-10-28","5,761,000",470
여행과 나날,2025-12-10,"5,615,000",469
힘,2025-11-27,"4,741,000",431
킹 오브 프리즘 -유어 엔드리스 콜- 모두 빛나라! 프리즘 투어즈,2025-07-18,"3,850,600",430
시라트,,"4,989,500",427
내 친구의 집은 어디인가,1996-08-17,"4,695,500",405
보스,2025-10-03,"2,811,000",398
고당도,2025-12-10,"3,615,800",364
콘티넨탈 '25,2025-11-19,"3,305,300",341
남쪽,,"3,950,000",327
두 검사,,"2,689,000",313
뱀파이어 헌터 D,2025-11-12,"3,272,500",309
꼬마돼지 베이브와 타피티,2025-11-13,"2,557,300",306
구원자,2025-11-05,"2,323,500",302
왼손잡이 소녀,2025-11-12,"2,938,300",294
헤어질 결심,2022-06-29,"3,377,000",284
럭키 데이 인 파리,2025-11-12,"2,696,500",284
속초에서의 겨울,2025-11-26,"2,882,000",262
돈,,"2,934,400",257
고양이를 부탁해,"재개봉일 : 2021-10-13

										2001-10-12","2,775,000",236
나의 작은 연인들,,"1,727,000",235
마사이 크로스,2025-11-20,"2,571,100",234
투모로우바이투게더 브이알 콘서트 : 하트 어택,2025-10-10,"7,623,000",231
